Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,222721.0,29.266,27.131,1003.3111,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,51.0,0.0
1,222772.0,29.277,27.138,1003.3111,1.1512,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,102.0,0.0
2,222823.0,29.277,27.131,1003.312,1.1512,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,153.0,0.0
3,222874.0,29.266,27.123,1003.3656,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,204.0,0.0
4,222925.0,29.255,27.115,1003.35736,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,255.0,0.0
5,222976.0,29.255,27.138,1003.35736,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,306.0,0.0
6,223027.0,29.266,27.131,1003.312,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,357.0,0.0
7,223078.0,29.266,27.131,1003.36163,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,408.0,0.0
8,223129.0,29.255,27.131,1003.3846,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,459.0,0.0
9,223180.0,29.255,27.131,1003.3846,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,510.0,0.0
10,223230.0,29.266,27.123,1003.33435,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,560.0,0.0
11,223282.0,29.277,27.131,1003.36163,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,612.0,0.0
12,223333.0,29.245,27.138,1003.34796,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,663.0,0.0
13,223384.0,29.266,27.131,1003.3519,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,714.0,0.0
14,223434.0,29.255,27.115,1003.41516,1.1515,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,764.0,0.0
15,223485.0,29.266,27.115,1003.37427,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,815.0,0.0
16,223537.0,29.266,27.138,1003.37427,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,867.0,0.0
17,223588.0,29.277,27.108,1003.34796,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,918.0,0.0
18,223639.0,29.255,27.131,1003.37427,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,969.0,0.0
19,223689.0,29.245,27.115,1003.36993,1.1515,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1019.0,0.0
20,223740.0,29.277,27.123,1003.36993,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1070.0,0.0
21,223792.0,29.287,27.115,1003.3519,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1122.0,0.0
22,223843.0,29.255,27.123,1003.34705,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1173.0,0.0
23,223894.0,29.255,27.115,1003.34705,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1224.0,0.0
24,223944.0,29.255,27.115,1003.34705,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1274.0,0.0
25,223995.0,29.255,27.115,1003.3606,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1325.0,0.0
26,224047.0,29.266,27.123,1003.3836,1.1514,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1377.0,0.0
27,224098.0,29.277,27.131,1003.3836,1.1513,0.0,14.0,0.0,220.0,0.0,633.64,0.0,0.0,1428.0,0.0
