Muestra,Tiempo,Temp,Hum,Pres,Den,DP,Ref,VelFrec,PWM,Control,Error,ESTADOvariador,ERRORvariador,TiempoRel,ControlAutomatico
0,201202.0,26.821,29.404,1003.3683,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,51.0,0.0
1,201253.0,26.789,29.419,1003.42267,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,102.0,0.0
2,201305.0,26.799,29.419,1003.42267,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,154.0,0.0
3,201356.0,26.821,29.427,1003.4458,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,205.0,0.0
4,201407.0,26.799,29.419,1003.3778,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,256.0,0.0
5,201458.0,26.799,29.412,1003.3778,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,307.0,0.0
6,201509.0,26.81,29.427,1003.40906,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,358.0,0.0
7,201560.0,26.821,29.412,1003.3642,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,409.0,0.0
8,201611.0,26.81,29.419,1003.3819,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,460.0,0.0
9,201662.0,26.799,29.427,1003.3819,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,511.0,0.0
10,201713.0,26.799,29.427,1003.405,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,562.0,0.0
11,201764.0,26.778,29.427,1003.40906,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,613.0,0.0
12,201816.0,26.778,29.419,1003.4363,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,665.0,0.0
13,201867.0,26.799,29.435,1003.4363,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,716.0,0.0
14,201917.0,26.799,29.427,1003.42267,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,766.0,0.0
15,201968.0,26.81,29.427,1003.4322,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,817.0,0.0
16,202019.0,26.81,29.435,1003.41766,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,868.0,0.0
17,202071.0,26.799,29.419,1003.41766,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,920.0,0.0
18,202122.0,26.81,29.427,1003.39545,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,971.0,0.0
19,202173.0,26.799,29.412,1003.40906,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1022.0,0.0
20,202224.0,26.789,29.427,1003.40906,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1073.0,0.0
21,202274.0,26.81,29.419,1003.40906,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1123.0,0.0
22,202326.0,26.81,29.435,1003.3819,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1175.0,0.0
23,202377.0,26.799,29.427,1003.39545,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1226.0,0.0
24,202428.0,26.81,29.427,1003.39545,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1277.0,0.0
25,202479.0,26.821,29.435,1003.4133,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1328.0,0.0
26,202530.0,26.799,29.419,1003.3819,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1379.0,0.0
27,202582.0,26.799,29.427,1003.4133,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1431.0,0.0
28,202632.0,26.799,29.419,1003.4133,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1481.0,0.0
29,202683.0,26.81,29.427,1003.40906,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1532.0,0.0
30,202734.0,26.81,29.404,1003.3998,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1583.0,0.0
31,202785.0,26.789,29.427,1003.3998,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1634.0,0.0
32,202836.0,26.821,29.412,1003.3914,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1685.0,0.0
33,202888.0,26.821,29.412,1003.3998,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1737.0,0.0
34,202939.0,26.799,29.412,1003.39545,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1788.0,0.0
35,202989.0,26.81,29.412,1003.39545,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1838.0,0.0
36,203040.0,26.778,29.427,1003.39044,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1889.0,0.0
37,203091.0,26.789,29.412,1003.4133,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1940.0,0.0
38,203143.0,26.789,29.412,1003.44055,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,1992.0,0.0
39,203194.0,26.799,29.419,1003.44055,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2043.0,0.0
40,203245.0,26.799,29.419,1003.4133,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2094.0,0.0
41,203296.0,26.789,29.419,1003.4628,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2145.0,0.0
42,203347.0,26.789,29.404,1003.45416,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2196.0,0.0
43,203398.0,26.821,29.412,1003.45416,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2247.0,0.0
44,203449.0,26.81,29.419,1003.3819,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2298.0,0.0
45,203500.0,26.789,29.419,1003.42694,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2349.0,0.0
46,203551.0,26.81,29.419,1003.42694,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2400.0,0.0
47,203602.0,26.81,29.427,1003.39545,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2451.0,0.0
48,203654.0,26.789,29.419,1003.39545,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2503.0,0.0
49,203705.0,26.799,29.412,1003.40906,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2554.0,0.0
50,203755.0,26.81,29.419,1003.40906,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2604.0,0.0
51,203806.0,26.821,29.419,1003.3778,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2655.0,0.0
52,203857.0,26.789,29.427,1003.44055,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2706.0,0.0
53,203909.0,26.81,29.419,1003.42267,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2758.0,0.0
54,203960.0,26.81,29.419,1003.42267,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2809.0,0.0
55,204011.0,26.789,29.412,1003.4363,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2860.0,0.0
56,204062.0,26.799,29.404,1003.41766,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2911.0,0.0
57,204112.0,26.81,29.404,1003.42206,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,2961.0,0.0
58,204164.0,26.821,29.435,1003.42206,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3013.0,0.0
59,204215.0,26.81,29.404,1003.39484,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3064.0,0.0
60,204266.0,26.789,29.419,1003.39044,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3115.0,0.0
61,204317.0,26.821,29.412,1003.39044,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3166.0,0.0
62,204368.0,26.799,29.419,1003.4313,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3217.0,0.0
63,204420.0,26.789,29.412,1003.42206,1.1613,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3269.0,0.0
64,204470.0,26.821,29.404,1003.39484,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3319.0,0.0
65,204521.0,26.799,29.412,1003.39484,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3370.0,0.0
66,204572.0,26.81,29.412,1003.4313,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3421.0,0.0
67,204623.0,26.799,29.389,1003.4313,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3472.0,0.0
68,204675.0,26.799,29.419,1003.42206,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3524.0,0.0
69,204726.0,26.821,29.412,1003.42206,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3575.0,0.0
70,204777.0,26.821,29.397,1003.4313,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3626.0,0.0
71,204828.0,26.81,29.419,1003.4628,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3677.0,0.0
72,204878.0,26.821,29.404,1003.4356,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3727.0,0.0
73,204930.0,26.821,29.397,1003.4356,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3779.0,0.0
74,204981.0,26.821,29.419,1003.4397,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3830.0,0.0
75,205032.0,26.821,29.412,1003.4397,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3881.0,0.0
76,205083.0,26.821,29.427,1003.4397,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3932.0,0.0
77,205134.0,26.799,29.412,1003.42206,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,3983.0,0.0
78,205186.0,26.821,29.404,1003.4533,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4035.0,0.0
79,205236.0,26.81,29.404,1003.4492,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4085.0,0.0
80,205287.0,26.81,29.404,1003.4492,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4136.0,0.0
81,205338.0,26.81,29.427,1003.4356,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4187.0,0.0
82,205389.0,26.81,29.419,1003.42206,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4238.0,0.0
83,205441.0,26.821,29.404,1003.3812,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4290.0,0.0
84,205492.0,26.831,29.412,1003.3812,1.161,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4341.0,0.0
85,205543.0,26.821,29.412,1003.4533,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4392.0,0.0
86,205593.0,26.81,29.397,1003.3988,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4442.0,0.0
87,205644.0,26.81,29.397,1003.3988,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4493.0,0.0
88,205696.0,26.821,29.412,1003.4492,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4545.0,0.0
89,205747.0,26.81,29.397,1003.4124,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4596.0,0.0
90,205798.0,26.821,29.412,1003.4124,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4647.0,0.0
91,205849.0,26.821,29.404,1003.4124,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4698.0,0.0
92,205900.0,26.81,29.389,1003.4533,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4749.0,0.0
93,205952.0,26.831,29.435,1003.4576,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4801.0,0.0
94,206002.0,26.789,29.412,1003.3759,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4851.0,0.0
95,206053.0,26.81,29.412,1003.3759,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4902.0,0.0
96,206104.0,26.799,29.404,1003.4032,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,4953.0,0.0
97,206155.0,26.81,29.404,1003.4439,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5004.0,0.0
98,206206.0,26.81,29.397,1003.4439,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5055.0,0.0
99,206258.0,26.821,29.412,1003.4439,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5107.0,0.0
100,206309.0,26.799,29.419,1003.4261,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5158.0,0.0
101,206359.0,26.789,29.419,1003.4075,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5208.0,0.0
102,206410.0,26.81,29.404,1003.4075,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5259.0,0.0
103,206461.0,26.81,29.412,1003.4261,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5310.0,0.0
104,206513.0,26.81,29.419,1003.4168,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5362.0,0.0
105,206564.0,26.821,29.419,1003.3759,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5413.0,0.0
106,206615.0,26.821,29.412,1003.3759,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5464.0,0.0
107,206666.0,26.81,29.404,1003.4439,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5515.0,0.0
108,206716.0,26.831,29.404,1003.4303,1.1611,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5565.0,0.0
109,206768.0,26.81,29.404,1003.4483,1.1612,0.0,21.61,0.0,383.0,0.0,1100.73,0.0,0.0,5617.0,0.0
